,Unnamed: 0,smiles,pXC50,Original_Entry_ID,DB,MW,HA,HD,logP,Lipinski rule
1230,57479,S(O)(=O)(N1CCC(CC1)C(=O)N2CCCCC2)C3=CC4=C(C5=CC=CC=C5N=C4C=C3)C(O)O,5.1587028503418,5308241,pubchem,485.606,5,4,2.8593,True
1231,57718,C1(CCCC2=CC=C(C=C2)C(F)(F)F)CCN(CC1)C[C@@H]3[C@H](CN(C3)[C@H](CC4CCC4)C(=O)O)C5=CC(F)=CC=C5,5.15872144699097,CHEMBL21147,chembl20,574.703,3,1,7.23820000000001,False
1232,57719,C=1(C[C@@H](CNC2=NC=C(C3=CC4=C(C=C3)C=NN4C)S2)N)C=CC(=CC1)C(F)(F)F,5.1587553024292,CHEMBL1079626,chembl20,431.487,6,2,4.6975,True
1233,57720,S1C(=CN=C1C=2C=CC=CC2)C=3C=CC=4C=C(CCN5[C@@H](CCC5)C)C=CC4N3,5.1588978767395,CHEMBL1086513,chembl20,399.563,4,0,6.05210000000001,False
1234,57723,C=1(CN2N=NC(=C2)C(CC)(C(F)(F)F)O)C=C3SC(=C(C3=CC1)C=4C=CC=CC4)C(O)C,5.15896463394165,CHEMBL1289214,chembl20,461.509,6,2,5.42130000000001,False
1235,57724,S1C2=C(C(=C1C(O)C)C3=CC=CC=C3)C=CC(CN4N=NC(C(O)(CC)C(F)(F)F)=C4)=C2,5.15896463394165,16068121,pubchem,461.509,6,2,5.42130000000001,False
1238,57962,S=1(O)(O)=CC2N(/C(/SC2C1)=N/C(=O)CCC)C3=CC=C(C=C3)CC,5.15902137756348,CHEMBL3212051,chembl20,366.508,4,2,3.5907,True
1239,57967,N1(C(=O)C2=C(N3[C@@H]4[C@H](N=C13)CCC4)N=C(N2CC=5C=CC(=CC5)O)C(F)(F)F)CC,5.15909337997437,CHEMBL487704,chembl20,419.407,6,1,3.2286,True
1241,57971,O1C(CN(CC)CC)=C(C=C1C2=CC=CC=C2)C(=O)O,5.1592059135437,844978,pubchem,273.332,3,1,3.4866,True
1242,58166,O1C(=C(C=C1C2=CC=CC=C2)C(O)=O)CN(CC)CC,5.1592059135437,CHEMBL1531884,chembl20,273.332,3,1,3.4866,True
1243,58170,O=C1N(C(=NC2=C1C=CC=C2)C)CCCN3C=NC=C3,5.15923595428467,CHEMBL1337326,chembl20,268.32,5,0,1.99172,True
1245,58177,O=C1N(CCCN2C=CN=C2)C(=NC3=C1C=CC=C3)C,5.15923595428467,742176,pubchem,268.32,5,0,1.99172,True
1246,58415,S(C=1N=C(O)C(=C(O)N1)CC)CC(=O)NCC=2OC=CC2,5.159255027771,CHEMBL1487209,chembl20,309.347,7,3,1.4517,True
1248,58420,S(C=1N=C(O)C(CC)=C(O)N1)CC(=O)NCC=2OC=CC2,5.159255027771,3244369,pubchem,309.347,7,3,1.4517,True
1249,58662,O=C1N(NC(=O)CN(CC)CC)C(=NC=2N(C=NC21)C3=CC=CC=C3)C,5.15926074981689,CHEMBL1521467,chembl20,354.414,7,1,1.30252,True
1251,58667,O=C(NN1C(=NC=2N(C3=CC=CC=C3)C=NC2C1=O)C)CN(CC)CC,5.15926074981689,2816784,pubchem,354.414,7,1,1.30252,True
1254,59055,O=C1N(N(C(C1=NN=C(C(=O)C)C(=O)C)C)C)C2=CC=CC=C2,5.15926504135132,CHEMBL1427393,chembl20,314.345,6,0,1.2435,True
1256,59063,S=C(N/N=C/C1=C(N2CCCC2)N(N=C1C)C3=CC=CC=C3)NC4=C(C=CC=C4)C(F)(F)F,5.15927791595459,6905031,pubchem,472.54,5,2,5.12022,False
1257,59259,S=C(NC1=C(C(F)(F)F)C=CC=C1)N/N=C/C2=C(N(N=C2C)C3=CC=CC=C3)N4CCCC4,5.15927791595459,CHEMBL3189179,chembl20,472.54,5,2,5.12022000000001,False
1258,59274,C1N2CCC(C1(O)C=3SC(=NC3)C=4C=CC=CC4)CC2,5.15930128097534,CHEMBL319389,chembl20,286.4,4,1,2.7233,True
1259,59275,C=1(N(N=C(C1C)C=2C=CC=CC2)C=3SC=C(N3)C(O)=O)C(F)(F)F,5.15930557250977,CHEMBL2442494,chembl20,353.325,5,1,4.02122,True
1260,59276,O1C(N2C3=NC=NC(N)=C3N=C2)[C@H](O)[C@H](O)[C@H]1C(=O)N(CC)CC,5.15933275222778,46876373,pubchem,336.352,9,3,-1.1039,True
1261,59277,O=C(O)C=1N=CC2=C(C1)C=CC=C2,5.15934276580811,CHEMBL1728638,chembl20,173.171,2,1,1.933,True
1263,59282,OC(=O)C=1N=CC2=C(C1)C=CC=C2,5.15934276580811,124656,pubchem,173.171,2,1,1.933,True
1265,59379,S(C1=NC(=NC=2N(CCC)C=NC21)N)CC(=O)O,5.15948867797852,242655,pubchem_screening,267.314,7,2,0.9952,True
1266,59388,S(C=1N=C(N=C2N(C=NC21)CCC)N)CC(O)=O,5.15948867797852,CHEMBL1370924,chembl20,267.314,7,2,0.9952,True
1268,59392,FC(F)C(=O)CC(=NO)C=1C(O)=CC=CC1,5.15949249267578,5389198,pubchem,229.182,4,2,1.7948,True
1269,59631,FC(F)C(=O)C/C(=N/O)/C1=C(O)C=CC=C1,5.15949249267578,CHEMBL3214601,chembl20,229.182,4,2,1.7948,True
1271,59636,S1C(CC(=O)NC=2C=CC(CC)=CC2)=C(O)N=C1NN=C3CCCCCC3,5.15953063964844,3433420,pubchem,386.521,6,3,4.7144,True
1272,59771,S1C(=C(O)N=C1NN=C2CCCCCC2)CC(=O)NC=3C=CC(=CC3)CC,5.15953063964844,CHEMBL1544107,chembl20,386.521,6,3,4.7144,True
1273,59775,O1C(C=2N=C3N(N2)C(=NC=4N(N=CC43)CCCC=5C=CC(=CC5)C(O)=O)N)=CC=C1,5.15964508056641,10916451,pubchem,403.402,9,2,2.6472,True
1274,59776,N=1C2=C(C3=NC(=NN3C1N)C=4OC=CC4)C=NN2CCCC=5C=CC(=CC5)C(=O)O,5.15964508056641,CHEMBL279254,chembl20,403.402,9,2,2.6472,True
1275,59777,OC=1N(C=NC=2C1N=C3C2C=C(C=C3)C)CN4C(CCC4)CC,5.15966653823853,CHEMBL1462143,chembl20,310.401,5,1,3.38202,True
1277,59787,OC=1N(CN2C(CCC2)CC)C=NC=3C1N=C4C3C=C(C=C4)C,5.15966653823853,6623520,pubchem,310.401,5,1,3.38202,True
1278,59986,C1=C(OC)C(=C2N=C(C(C(O)=O)=CC2=C1)O)OCCCC,5.15969181060791,CHEMBL1822946,chembl20,291.303,5,2,2.8261,True
1279,59987,N1=C(C=CC(C(=O)NC2CCN(CC2)CC(F)(F)F)=C1)C3=CC=CC=C3,5.15971040725708,CHEMBL2035650,chembl20,363.383,3,1,3.5051,True
1281,59990,O=C1CCCC(=NNC(=O)C2=CC3=C(C=C2O)C=CC=C3)C1,5.15985584259033,1502291,pubchem,296.326,4,2,2.7743,True
1282,60080,OC=1C(=CC2=C(C1)C=CC=C2)C(=O)NN=C3CC(=O)CCC3,5.15985584259033,CHEMBL1710031,chembl20,296.326,4,2,2.7743,True
1285,60258,S1C(=C(N=C1C=2C=CC=CC2)C)/C(=N/O)/C,5.15990781784058,CHEMBL3209853,chembl20,232.308,4,1,3.31672,True
1286,60267,C1(=C(O)C(SCC2=CC(=CC=C2)C(F)(F)F)=C(O)N1)C(C)CC,5.15995502471924,CHEMBL468168,chembl20,345.386,3,3,5.2505,False
1287,60268,ClC1=C(N2CCC(N3C=CC=C3)CC2)N=CC(=C1)C(F)(F)F,5.1599702835083,2822466,pubchem_screening,329.753,3,0,4.3968,True
1289,60272,S=C(N1CCC(CC1)CN=CC2C(=O)N(C(=O)N(C2=O)C)C)NC=3C=CC=CC3,5.16004705429077,5342505,pubchem_screening,415.519,5,1,1.8328,True
1291,60278,FC(F)C1(O)N(N=C(C1)C(F)F)C(=O)C=2C=3C(N=C(C2)C=4C=CC(=CC4)CC)=CC=CC3,5.16007137298584,4250647,pubchem,445.416,4,1,4.8849,True
1292,60477,FC(F)C1(O)N(N=C(C1)C(F)F)C(=O)C=2C=3C(N=C(C2)C4=CC=C(C=C4)CC)=CC=CC3,5.16007137298584,CHEMBL1299463,chembl20,445.416,4,1,4.8849,True
1293,60499,C=1C=CC=2C(C1)=C(N=C(N2)CCC(N[C@@H](CC)CO)=O)O,5.16009902954102,CHEMBL3092521,chembl20,289.335,5,3,1.1551,True
1295,60503,FC(F)(F)C1=CC(N2C(O)=C3[C@@H]4N(OC3=C2O)CCCC4)=CC=C1,5.16010427474976,16195217,pubchem,340.301,5,2,3.7417,True
1296,60704,FC(F)(F)C=1C=C(N2C(O)=C3C(ON4[C@@H]3CCCC4)=C2O)C=CC1,5.16010427474976,CHEMBL1612309,chembl20,340.301,5,2,3.7417,True
1298,60707,S\1C(=O)N(CCC(=O)N=C2C(N(N(C2=O)C3=CC=CC=C3)C)C)C(=O)/C1=C/C4=CC(OC)=CC=C4,5.16010475158691,1584530,pubchem_screening,492.557,7,0,3.3713,True
1299,60710,N1=C(SC(=C1O)CC2=CC=C(N3CCC(NCC(C4=CC(NS(O)(=O)C)=C(C=C4)O)=O)CC3)C=C2)O,5.16017961502075,CHEMBL163262,chembl20,534.66,9,7,2.7384,False
1300,60713,O1C(C=2N=C3N(N2)C(=NC=4N(N=CC43)CCCC=5C=CC(O)=CC5)N)=CC=C1,5.16024351119995,10362099,pubchem,375.392,9,2,2.6546,True
1301,60715,N=1C2=C(C3=NC(C4=CC=CO4)=NN3C1N)C=NN2CCCC=5C=CC(=CC5)O,5.16024351119995,CHEMBL67026,chembl20,375.392,9,2,2.6546,True
1303,60721,S1C(C2=NC=3N(N=CC3C(=O)N4CCN(CC4)CC5=CC=CC=C5)C(=C2)C(F)(F)F)=CC=C1,5.16026449203491,1040117,pubchem,471.508,6,0,4.4346,True
1304,60927,S1C(C2=NC=3N(N=CC3C(=O)N4CCN(CC4)CC5=CC=CC=C5)C(C(F)(F)F)=C2)=CC=C1,5.16026449203491,CHEMBL1584308,chembl20,471.508,6,0,4.4346,True
1305,60933,N1(N(C(C(=C1C)/N=C/C=2OC=CC2)=O)C3=CC=CC=C3)C,5.16028022766113,CHEMBL2261860,chembl20,281.315,5,0,2.82802,True
1307,60939,O=C1N(N(C(=C1/N=C/C=2OC=CC2)C)C)C3=CC=CC=C3,5.16028022766113,624533,pubchem,281.315,5,0,2.82802,True
1309,61179,FC(F)(F)C1CCCN(C1)C(=O)C2=CC3=C(C=C2O)C=CC=C3,5.16028499603272,24819718,pubchem,323.314,2,1,3.9599,True
1310,61333,FC(F)(F)C1CN(C(=O)C=2C(O)=CC3=C(C2)C=CC=C3)CCC1,5.16028499603272,CHEMBL1585344,chembl20,323.314,2,1,3.9599,True
1312,61342,O=C(N1CCC(=NNC(=O)C2=CC3=C(C=C2O)C=CC=C3)CC1)C,5.1602954864502,3916493,pubchem,325.368,4,2,2.2735,True
1313,61495,OC=1C(=CC2=C(C1)C=CC=C2)C(=O)NN=C3CCN(CC3)C(=O)C,5.1602954864502,CHEMBL1350460,chembl20,325.368,4,2,2.2735,True
1314,61500,ClC1=CC=C(CN2CCC(C=NS(O)(O)=C3C(=O)N4C(SC=C4)=NC3=C)CC2)C=C1,5.16035079956055,CHEMBL1867587,chembl20,467.016,7,3,4.123,True
1316,61506,ClC1=CC=C(CN2CCC(CC2)C=NS(O)(O)=C3C(N=C4SC=CN4C3=O)=C)C=C1,5.16035079956055,23004560,pubchem,467.016,7,3,4.123,True
1317,61567,C=1(N(N=C(C1)C=2C=C(C=CC2)O)C=3SC=C(N3)C(O)=O)C(F)(F)F,5.16038465499878,CHEMBL2442489,chembl20,355.297,6,2,3.4184,True
1318,61568,S1C(=NC=C1C(O)=NO)CNC(=O)C=2N(C=CC2)C,5.16039896011353,73333213,pubchem,280.309,6,3,1.1054,True
1319,61569,C1=C(N=C2C(=C1C(F)(F)F)C=C(N3[C@@H](CC[C@@H]3[C@@H](O)C(F)(F)F)C)C=C2)O,5.16044807434082,CHEMBL467888,chembl20,394.315,4,2,4.2397,True
1320,61571,FC(F)(F)[C@H](O)[C@@H]1N([C@@H](CC1)C)C2=CC=3C(=NC(O)=CC3C(F)(F)F)C=C2,5.16044807434082,16750192,pubchem,394.315,4,2,4.2397,True
1321,61572,C=1C(=C2C=C(C=CC2=NC1O)N3[C@H](CC[C@H]3C)[C@@H](C(F)(F)F)O)C(F)(F)F,5.16044807434082,CHEMBL2113293,chembl20,394.315,4,2,4.2397,True
1322,61573,FC(F)(F)C1=NC(N=C2C(=O)N(N(C2C)C)C3=CC=CC=C3)=C4C(=N1)C=CC=C4,5.16083717346191,CHEMBL1498791,chembl20,399.376,5,0,4.0032,True
