,Unnamed: 0,smiles,pXC50,Original_Entry_ID,DB,MW,HA,HD,logP,Lipinski rule
1385,63696,O=C(O)CN\1CCC/C1=N\C2=CC=CC=C2,5.16334342956543,3021821,pubchem,218.256,2,1,1.897,True
1386,63907,O1C=2N(CCC1)C=3C(C2C(=O)NCC4CCN(CC4)CCC(=O)O)=CC=CC3,5.16335010528564,53320712,pubchem,385.464,5,2,2.3403,True
1387,63908,OC=1C2=C(N(N=C2)C3=CC=CC=C3)N=C(O)C1C,5.16336822509766,54680133,pubchem_screening,241.25,5,2,2.14012,True
1388,63911,O1C=2N(CCC1)C=3C(C2C(=O)NCC4CCN(CC4)CCCCC(=O)O)=CC=CC3,5.16338682174683,53321958,pubchem,413.518,5,2,3.1205,True
1389,63912,N1(CCC(CC1)C)CC=2C=CC(N)=CC2,5.16340160369873,1084995,pubchem_screening,204.317,2,1,2.5007,True
1390,63913,S=C(N=C1C(=O)N(N(C1C)C)C2=CC=CC=C2)N/N=C/C3=CC=C(O)C=C3,5.16342353820801,CHEMBL3196015,chembl20,381.461,5,2,2.3237,True
1392,63922,S=C(N=C1C(N(N(C1=O)C2=CC=CC=C2)C)C)NN=CC=3C=CC(O)=CC3,5.16342353820801,5449399,pubchem,381.461,5,2,2.3237,True
1393,64131,O(C1=CC2=C([C@H]([N+](CC2)(C)C)CC=3C=CC(O)=CC3)C=C1O)C,5.16344165802002,16667742,pubchem_screening,314.405,3,2,3.0227,True
1395,64139,O(C1=CC2=C(C([N+](CC2)(C)C)CC=3C=CC(O)=CC3)C=C1O)C,5.16344165802002,16757907,pubchem_screening,314.405,3,2,3.0227,True
1398,64358,S1C(/C=N/NC=2N(C3=C(N(C(=O)N(C3=O)C)C)N2)CC4=CC=CC=C4)=CC=C1,5.16347885131836,CHEMBL3195828,chembl20,394.46,9,1,1.9895,True
1400,64371,N1(C(CCCC1)C)CC=2C=CC(N)=CC2,5.16359376907349,3159023,pubchem,204.317,2,1,2.6432,True
1401,64579,N1(CC=2C=CC(N)=CC2)C(CCCC1)C,5.16359376907349,CHEMBL1582937,chembl20,204.317,2,1,2.6432,True
1402,64583,S1C(N2N=C(C(=C2O)/C(=N/CC=3OC=CC3)/CC)C(F)(F)F)=NC=4C1=CC=CC4,5.16362857818604,CHEMBL3207583,chembl20,420.416,7,1,5.1987,False
1405,64594,S1C(N2N=C(C(C(=NCC=3OC=CC3)CC)=C2O)C(F)(F)F)=NC=4C1=CC=CC4,5.16362857818604,6860174,pubchem,420.416,7,1,5.1987,False
1406,64802,S(C=1N=C2N(N=CC2=C(O)N1)C3=CC=CC=C3)CC(=O)N4CCC(CC4)C,5.1636643409729,CHEMBL1499576,chembl20,383.477,7,1,2.8717,True
1408,64812,S(CC(=O)N1CCC(CC1)C)C2=NC=3N(N=CC3C(O)=N2)C4=CC=CC=C4,5.1636643409729,2152942,pubchem,383.477,7,1,2.8717,True
1409,65053,S(O)(O)(N=CC(=NO)O)=CCC1=CC2=C(C=C1)OCO2,5.1636848449707,CHEMBL2385488,chembl20,302.308,7,5,1.5744,False
1410,65057,S(O)(O)(N=CC(O)=NO)=CCC1=CC=2OCOC2C=C1,5.1636848449707,71817098,pubchem,302.308,7,5,1.5744,False
1411,65058,FC(F)(F)C(O)CNC1CCN(CC1)CC2=CC=CC=C2,5.16382217407227,2738626,pubchem_screening,302.34,3,2,2.1638,True
1412,65061,C=1C=CC2=C(C1)C(=NN2C(C)C)C(NCC3CCN(CC3)CC=NS(C)(O)=O)=O,5.16385078430176,CHEMBL2179702,chembl20,421.567,5,3,2.1643,True
1413,65062,S(O)(=O)(N=CCN1CCC(CC1)CNC(=O)C2=NN(C3=C2C=CC=C3)C(C)C)C,5.16385078430176,21252888,pubchem,421.567,5,3,2.1643,True
1414,65064,C(C(=S)N)(C#N)CC=1C=C(O)C(=CC1)O,5.16391515731812,CHEMBL78249,chembl20,222.269,4,3,1.06618,True
1415,65065,S1C(NC(=O)CCCCC=2ON=C(C2)C(O)=NO)=NC(C3=CC=CC=C3)=C1,5.16398572921753,44574139,pubchem,386.433,7,3,3.8434,True
1416,65066,C=1(NC(=O)CCCCC=2ON=C(C2)C(=NO)O)SC=C(N1)C3=CC=CC=C3,5.16398572921753,CHEMBL469134,chembl20,386.433,7,3,3.8434,True
1418,65073,S(CC(=O)NC=1N(N=C(C1C=2C=CC=CC2)C(F)(F)F)C)CC(=O)O,5.16400480270386,2740924,pubchem,373.356,5,2,2.8622,True
1419,65260,S(CC(=O)NC=1N(N=C(C1C=2C=CC=CC2)C(F)(F)F)C)CC(O)=O,5.16400480270386,CHEMBL1322055,chembl20,373.356,5,2,2.8622,True
1420,65263,C=1C(=NC(=C(C1)O)/C=N/O)CCCN2C(C3=CC(=C(C=C3CC2)OC)OC)C4=CC=CC=C4,5.16407299041748,CHEMBL2181430,chembl20,447.535,7,2,4.1928,True
1421,65264,O(C=1C=C2C(N(CCC2=CC1OC)CCCC3=NC(=C(O)C=C3)C=NO)C4=CC=CC=C4)C,5.16407299041748,71453921,pubchem,447.535,7,2,4.1928,True
1422,65265,O1C(NC2CCN(CC2)CC3=CC(OCC)=C(OC)C=C3)=NC=4C1=CN=CC4,5.16409921646118,46882666,pubchem,382.464,7,1,3.7066,True
1424,65267,O=C(N=C(N)N)CC=1C=CC(NC=2N=C(N=C3N(CC)C=NC32)C#N)=CC1,5.16413736343384,44460095,pubchem,363.385,7,3,0.80398,True
